사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Sep-20,7호선,518,온수(성공회대입구),209073,192481,30147,28756
Sep-20,7호선,519,까치울,150755,145108,20653,20906
Sep-20,7호선,520,부천종합운동장,86800,73976,14135,14022
Sep-20,7호선,521,춘의,192929,189806,24492,23648
Sep-20,7호선,522,신중동,276061,275630,37459,35872
Sep-20,7호선,523,부천시청,236443,235438,39316,37916
Sep-20,7호선,524,상동,241307,251077,34768,34762
Sep-20,7호선,525,삼산체육관,86222,77309,16545,16219
Sep-20,7호선,526,굴포천,169377,177566,24543,24955
Sep-20,7호선,527,부평구청,235181,193317,21730,18863
Sep-20,8호선,528,암사,346089,300557,74566,73615
Sep-20,8호선,529,천호(풍납토성),295805,343383,60444,56605
Sep-20,8호선,530,강동구청,181807,190380,44191,44841
Sep-20,8호선,531,몽촌토성(평화의문),98637,103848,21445,20449
Sep-20,8호선,532,잠실(송파구청),257533,297279,45274,43117
Sep-20,8호선,533,석촌,132098,155982,35071,36836
Sep-20,8호선,534,송파,146142,142874,38081,37859
Sep-20,8호선,535,가락시장,130201,150156,53367,55918
Sep-20,8호선,536,문정,404367,424988,41173,40955
Sep-20,8호선,537,장지,332256,325280,52224,49938
Sep-20,8호선,538,복정,193498,167489,30631,28072
Sep-20,8호선,539,산성,124974,121239,30922,34083
Sep-20,8호선,540,남한산성입구(성남법원.검찰청),245110,219861,60228,58073
Sep-20,8호선,541,단대오거리,176048,166678,50428,48197
Sep-20,8호선,542,신흥,73620,78687,29303,30688
Sep-20,8호선,543,수진,84283,74601,32189,31905
Sep-20,8호선,544,모란,62291,48007,40874,31443
Sep-20,9호선,601,개화,48262,35542,10524,8942
Sep-20,9호선,602,김포공항,153075,224445,12122,14150
Sep-20,9호선,603,공항시장,47161,51442,17590,19183
Sep-20,9호선,604,신방화,117114,113049,31927,31784
Sep-20,9호선,605,마곡나루(서울식물원),207181,208616,18658,18092
Sep-20,9호선,606,양천향교,169114,172827,32455,32163
Sep-20,9호선,607,가양,353358,342966,92444,90135
Sep-20,9호선,608,증미,126718,126941,33630,34138
Sep-20,9호선,609,등촌,176658,172788,58325,59233
Sep-20,9호선,610,염창,322664,313643,49284,48576
Sep-20,9호선,611,신목동,68269,60736,13840,13040
Sep-20,9호선,612,선유도,140727,136946,18319,17624
Sep-20,9호선,613,당산,345741,340572,44649,40623
Sep-20,9호선,614,국회의사당,286370,293634,28592,24834
Sep-20,9호선,615,여의도,438847,424358,28900,26507
Sep-20,9호선,616,샛강,94178,99745,16666,16269
Sep-20,9호선,617,노량진,464306,455310,69187,69707
Sep-20,9호선,618,노들,77684,65207,22802,20874
Sep-20,9호선,619,흑석(중앙대입구),134840,140806,37322,37441
Sep-20,9호선,620,동작(현충원),32750,25431,6916,5803
Sep-20,9호선,621,구반포,43219,44918,14357,14547
Sep-20,9호선,622,신반포,48932,48783,12583,12425
Sep-20,9호선,623,고속터미널,215759,294445,35050,40020
Sep-20,9호선,624,사평,52430,50917,12028,12230
Sep-20,9호선,625,신논현,599905,606781,42277,39119
Sep-20,공항철도 1호선,639,서울역,127852,120137,21629,19945
Sep-20,공항철도 1호선,640,공덕,41456,52138,4736,5393
Sep-20,공항철도 1호선,641,홍대입구,175241,175507,12021,11468
Sep-20,공항철도 1호선,642,디지털미디어시티,251648,228016,15680,14558
Sep-20,공항철도 1호선,643,마곡나루(서울식물원),143576,135549,7975,7866
Sep-20,공항철도 1호선,644,김포공항,208899,128304,13348,9431
Sep-20,공항철도 1호선,645,계양,188788,174201,18415,17302
Sep-20,공항철도 1호선,646,검암,147686,146458,13311,13559
Sep-20,공항철도 1호선,647,청라국제도시,129337,120989,8116,7954
Sep-20,공항철도 1호선,648,운서,125239,124033,18529,18476
Sep-20,공항철도 1호선,649,공항화물청사,47287,52689,7398,7494
Sep-20,공항철도 1호선,650,인천공항1터미널,76127,80564,11084,11139
Sep-20,공항철도 1호선,651,인천공항2터미널,43375,40907,4796,4333
Sep-20,공항철도 1호선,652,영종,52452,53507,13530,13577
Sep-20,9호선2~3단계,626,언주,187049,187455,18717,18391
Sep-20,9호선2~3단계,627,선정릉,178835,191714,15052,15437
Sep-20,9호선2~3단계,628,삼성중앙,120928,125373,15573,15070
Sep-20,9호선2~3단계,629,봉은사,283074,285946,26204,24684
Sep-20,9호선2~3단계,630,종합운동장,74731,72940,11324,10546
Sep-20,9호선2~3단계,631,삼전,117387,113584,23805,23270
Sep-20,9호선2~3단계,632,석촌고분,99749,97641,21718,21530
Sep-20,9호선2~3단계,633,석촌,144983,126232,21085,18561
Sep-20,9호선2~3단계,634,송파나루,76489,80881,16967,17485
Sep-20,9호선2~3단계,635,한성백제,41496,36725,9686,8887
Sep-20,9호선2~3단계,636,올림픽공원(한국체대),105645,104431,13399,13460
Sep-20,9호선2~3단계,637,둔촌오륜,18415,16355,4072,4121
Sep-20,9호선2~3단계,638,중앙보훈병원,144872,122838,55021,54542
Sep-20,우이신설선,696,북한산우이,43417,39325,26078,27508
Sep-20,우이신설선,697,솔밭공원,32745,30529,21576,22694
Sep-20,우이신설선,698,4.19민주묘지,37894,37524,27137,24332
Sep-20,우이신설선,699,가오리,56883,54748,32940,34259
Sep-20,우이신설선,700,화계,45914,41041,29784,30133
Sep-20,우이신설선,701,삼양,25449,26815,20365,22668
Sep-20,우이신설선,702,삼양사거리,28146,28819,27034,27742
Sep-20,우이신설선,703,솔샘,95595,86303,26979,27811
Sep-20,우이신설선,704,북한산보국문,99639,91881,30094,30726
Sep-20,우이신설선,705,정릉,66493,60047,33930,31834
Sep-20,우이신설선,706,성신여대입구(돈암),46336,54482,21089,20451
Sep-20,우이신설선,707,보문,22872,22644,11509,11968
Sep-20,우이신설선,708,신설동,30836,31742,19293,17142
